timestamp,pump_id,pressure_psi,flow_rate_gpm,temperature_celsius,vibration_mm_s,power_consumption_kw,noise_level_db,oil_viscosity,current_failed_state
2024-01-01 00:00:00,1,82.13,128.25,51.48,0.908,21.89674475353831,72.46,23.68,0
2024-01-01 01:00:00,1,67.52,99.63,40.43,0.856,20.5,56.14,32.09,0
2024-01-01 02:00:00,1,55.34,101.87,38.04,0.713,21.27,77.79,31.12,0
2024-01-01 03:00:00,1,48.76,103.6,45.52,0.799,22.46,81.94,33.68,0
2024-01-01 04:00:00,1,48.76,110.84,55.96,1.294,23.7,73.93,27.49,0
2024-01-01 05:00:00,1,67.95,101.65,38.84,0.959,20.97,87.12,28.2,0
2024-01-01 06:00:00,1,83.43,88.52,48.45,0.889,16.83,73.41,31.08,0
2024-01-01 07:00:00,1,76.75,126.86,49.63,0.889,21.17,47.54,29.97,0
2024-01-01 08:00:00,1,81.39,113.02,44.91,1.264,17.63,76.07,38.47,0
2024-01-01 09:00:00,1,76.92,85.38,58.35,0.773,20.31,79.07,25.43,0
2024-01-01 10:00:00,1,54.65,107.98,58.35,1.01,23.16,62.16,25.43,0
2024-01-01 11:00:00,1,82.09,115.9,47.46,1.179,22.95,79.53,36.47,0
2024-01-01 12:00:00,1,82.16,98.62,58.25,0.875,30.54,77.16,27.02,0
2024-01-01 13:00:00,1,51.48,92.7,55.15,1.018,18.79,71.78,18.86,0
2024-01-01 14:00:00,1,84.21,78.76,45.67,1.027,24.0,75.9,44.46,0
2024-01-01 15:00:00,1,68.88,92.76,51.58,1.471,24.0,77.99,24.13,0
2024-01-01 16:00:00,1,74.12,100.85,46.86,1.366,23.38,77.99,30.51,0
2024-01-01 17:00:00,1,66.79,92.88,45.95,1.318,23.1,55.52,32.94,0
2024-01-01 18:00:00,1,83.46,86.19,48.06,0.253,19.14,66.71,25.65,0
2024-01-01 19:00:00,1,73.42,83.71,51.22,0.253,20.42,70.08,29.08,0
